CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
104,Female,26,146,9
105,Female,18,37,49
106,Female,43,47,37
107,Female,55,52,31
108,Female,55,126,31
109,Female,61,55,59
110,Male,39,58,55
111,Female,61,48,19
112,Male,27,80,63
113,Female,23,136,2
114,Female,34,10,45
115,Male,68,145,96
116,Female,67,78,43
117,Male,55,39,98
118,Female,41,124,1
119,Female,68,17,85
120,Male,27,122,61
121,Female,25,28,3
122,Male,38,68,91
123,Female,23,88,44
124,Male,38,45,7
125,Male,56,64,33
126,Female,41,53,9
127,Female,50,86,30
128,Male,35,87,18
129,Female,45,110,56
130,Female,69,39,90
131,Female,49,48,84
132,Male,29,22,31
133,Male,65,131,72
134,Male,59,121,63
135,Male,44,54,87
136,Male,27,128,50
137,Male,63,44,89
138,Male,69,16,1
139,Male,59,119,82
140,Male,49,123,19
141,Female,59,60,64
142,Male,43,55,53
143,Female,42,29,6
144,Female,28,105,17
145,Female,40,47,46
146,Male,51,113,72
147,Male,69,41,73
148,Male,57,67,55
149,Male,40,91,91
150,Female,46,59,6
151,Male,48,61,70
152,Male,24,95,68
153,Male,57,124,86
154,Male,50,62,40
155,Male,38,75,91
156,Female,19,126,66
157,Male,35,52,9
158,Female,64,91,11
159,Male,50,73,20
160,Female,54,146,43
161,Male,51,122,58
162,Male,37,144,78
163,Female,52,63,26
164,Female,68,74,38
165,Female,67,11,94
166,Male,35,141,36
167,Female,63,87,99
168,Male,41,41,55
169,Male,25,109,6
170,Female,47,139,3
171,Female,61,113,65
172,Male,27,98,64
173,Male,40,58,58
174,Female,69,145,58
175,Female,66,96,18
176,Female,28,17,23
177,Male,19,110,96
178,Male,43,25,29
179,Male,53,49,23
180,Male,50,115,36
181,Male,64,36,70
182,Male,30,113,81
183,Female,57,114,82
184,Male,42,44,95
185,Male,21,122,6
186,Male,59,61,34
187,Female,36,62,44
188,Male,35,100,44
189,Male,54,90,27
190,Female,47,113,52
191,Male,36,75,42
192,Male,40,122,25
193,Male,33,40,74
194,Male,18,70,39
195,Male,29,110,39
196,Female,41,114,12
197,Female,51,107,11
198,Female,25,43,3
199,Male,35,68,22
200,Male,65,12,4
201,Male,22,26,8
202,Female,43,87,14
203,Male,47,55,84
204,Male,30,44,88
205,Female,36,138,14
206,Male,46,121,92
207,Female,20,141,16
208,Female,43,70,32
209,Female,57,106,64
210,Male,29,99,76
211,Male,19,145,16
212,Male,28,68,52
213,Male,61,27,19
214,Male,45,104,69
215,Male,35,25,12
216,Male,30,19,93
217,Female,54,113,5
218,Male,39,85,42
219,Female,29,25,17
220,Male,19,21,72
221,Male,54,84,94
222,Male,24,138,10
223,Female,43,36,84
224,Female,43,21,16
225,Female,41,39,16
226,Female,29,18,42
227,Male,33,62,3
228,Female,40,63,23
229,Male,57,58,86
230,Male,26,13,28
231,Female,49,88,45
232,Female,32,100,68
233,Female,54,88,24
234,Female,30,112,19
235,Female,22,120,75
236,Female,28,67,40
237,Female,27,91,46
238,Female,69,141,40
239,Male,30,31,62
240,Female,58,140,18
241,Female,63,88,12
242,Male,67,108,14
243,Female,32,47,82
244,Male,59,126,61
245,Male,24,35,12
246,Female,57,145,27
247,Male,45,59,6
248,Male,49,47,88
249,Male,52,147,33
250,Male,32,51,80
251,Female,65,46,50
252,Male,53,149,12
253,Female,38,58,95
254,Male,23,55,57
255,Male,18,38,53
256,Male,21,21,13
257,Male,28,125,72
258,Female,61,91,3
259,Female,43,53,64
260,Male,54,11,84
261,Male,40,26,58
262,Female,46,147,4
263,Male,38,27,45
264,Male,65,31,66
265,Male,62,92,36
266,Female,62,67,23
267,Female,66,62,19
268,Female,44,10,40
269,Male,56,70,72
270,Male,57,40,16
271,Female,30,75,58
272,Female,40,62,18
273,Female,33,104,36
274,Female,47,32,24
275,Male,21,140,1
276,Female,57,96,1
277,Male,33,134,64
278,Female,48,118,62
279,Male,59,49,36
280,Female,42,130,75
281,Female,61,48,18
282,Female,29,129,16
283,Female,43,27,17
284,Male,54,46,24
285,Female,65,14,98
286,Male,50,82,68
287,Male,45,144,99
288,Male,26,50,79
289,Male,29,19,2
290,Female,22,77,95
291,Male,69,33,73
292,Male,45,87,10
293,Male,52,118,53
294,Female,22,33,89
295,Female,51,16,51
296,Female,63,82,69
297,Female,51,116,14
298,Male,30,108,66
299,Male,56,131,82
300,Female,59,21,93
301,Male,62,94,53
302,Male,65,12,84
303,Male,31,88,64
304,Female,28,94,72
305,Female,59,19,49
306,Male,55,42,90
307,Female,21,55,62
308,Female,50,68,37
309,Female,24,61,49
310,Female,58,15,68
311,Female,25,139,33
312,Male,54,38,22
313,Female,68,128,70
314,Male,27,106,33
315,Male,60,77,28
316,Female,32,69,88
317,Male,55,133,4
318,Male,32,93,66
319,Male,22,50,77
320,Female,46,122,49
321,Female,36,74,11
322,Male,68,88,35
323,Female,27,72,39
324,Female,29,127,10
325,Female,21,46,74
326,Female,48,73,72
327,Male,35,95,69
328,Male,33,142,23
329,Female,57,43,34
330,Female,53,48,32
331,Male,42,76,16
332,Male,40,71,68
333,Female,29,97,54
334,Male,51,140,28
335,Female,53,118,60
336,Female,54,98,78
337,Male,20,76,76
338,Male,26,88,60
339,Female,35,38,85
340,Female,60,83,80
341,Male,52,41,44
342,Female,51,96,2
343,Male,58,48,23
344,Female,31,146,93
345,Male,21,110,46
346,Male,46,77,73
347,Male,58,37,54
348,Female,62,23,71
349,Female,67,86,93
350,Male,32,125,81
351,Female,45,37,9
352,Male,59,98,70
353,Male,33,41,44
354,Female,29,146,84
355,Female,69,104,74
356,Male,22,26,73
357,Female,51,126,12
358,Female,59,86,97
359,Male,18,64,32
360,Male,56,19,34
361,Female,49,89,83
362,Male,43,143,33
363,Male,34,125,64
364,Female,65,88,48
365,Male,44,69,16
366,Male,41,51,50
367,Female,52,125,23
368,Female,63,118,26
369,Male,59,80,54
370,Male,56,111,44
371,Female,43,22,37
372,Female,66,24,9
373,Female,55,45,94
374,Female,40,24,13
375,Male,39,126,60
376,Female,21,84,80
377,Female,66,65,2
378,Male,26,104,95
379,Female,21,141,60
380,Male,24,61,57
381,Female,40,147,43
382,Female,19,93,19
383,Female,66,38,11
384,Male,41,62,78
385,Male,57,30,47
386,Female,48,121,89
387,Male,64,147,63
388,Male,48,85,7
389,Male,64,39,79
390,Male,57,134,94
391,Male,65,60,31
392,Male,68,87,88
393,Female,60,31,55
394,Female,51,73,25
395,Male,41,30,72
396,Female,66,138,30
397,Female,43,116,36
398,Female,33,125,50
399,Female,64,133,14
400,Male,30,45,29
401,Female,32,56,27
402,Female,44,41,50
403,Male,21,63,36
404,Male,33,32,34
405,Female,47,11,21
406,Female,61,119,38
407,Female,47,133,75
408,Female,53,76,97
409,Female,20,80,79
410,Female,39,38,76
411,Male,66,128,88
412,Female,39,122,50
413,Female,67,54,37
414,Male,67,25,75
415,Male,66,40,19
416,Male,29,59,1
417,Male,38,131,81
418,Female,21,24,40
419,Female,48,58,55
420,Female,61,19,80
421,Female,48,29,26
422,Female,40,79,43
423,Female,37,17,59
424,Male,32,43,51
425,Female,40,13,15
426,Male,45,117,8
427,Male,33,33,94
428,Female,54,64,14
429,Male,38,35,97
430,Female,32,34,7
431,Male,34,45,18
432,Female,67,80,12
433,Male,54,21,2
434,Female,30,138,50
435,Female,36,125,93
436,Female,47,142,21
437,Female,62,92,7
438,Female,35,15,91
439,Male,31,35,12
440,Male,53,122,84
441,Male,53,112,57
442,Female,37,129,78
443,Male,69,18,74
444,Female,36,54,23
445,Female,62,23,30
446,Male,61,121,58
447,Male,24,64,95
448,Female,61,146,52
449,Male,21,24,56
450,Female,51,46,10
451,Female,19,136,19
452,Female,22,126,19
453,Female,27,93,87
454,Female,49,81,59
455,Male,59,105,44
456,Male,58,120,59
457,Female,30,114,96
458,Female,56,67,84
459,Male,22,104,4
460,Male,27,127,97
461,Female,27,15,65
462,Male,55,13,13
463,Female,44,52,67
464,Male,68,102,12
465,Female,38,51,93
466,Male,25,12,55
467,Female,18,138,61
468,Male,45,24,95
469,Male,66,56,41
470,Female,56,94,36
471,Male,31,67,2
472,Female,38,48,22
473,Male,47,140,22
474,Female,38,44,41
475,Male,66,61,95
476,Female,26,127,14
477,Male,34,23,93
478,Female,22,39,35
479,Male,48,99,50
480,Female,69,144,9
481,Female,57,104,96
482,Female,55,78,59
483,Male,60,136,56
484,Female,36,61,91
485,Male,53,72,10
486,Female,67,45,25
487,Male,50,100,45
488,Female,30,62,97
489,Male,31,118,11
490,Male,50,81,9
491,Female,46,24,7
492,Male,60,122,71
493,Male,66,78,34
494,Female,53,125,83
495,Male,61,13,20
496,Male,27,84,89
497,Male,48,51,5
498,Female,23,39,93
499,Male,18,79,55
500,Female,24,25,91
501,Male,44,120,89
502,Male,38,113,15
503,Male,45,116,48
504,Female,33,132,4
505,Male,63,36,78
506,Male,40,22,81
507,Female,69,82,21
508,Male,37,95,80
509,Female,55,40,90
510,Female,42,12,9
511,Male,45,39,66
512,Female,22,108,79
513,Male,38,143,35
514,Female,35,108,88
515,Female,64,95,51
516,Male,23,73,78
517,Female,46,127,37
518,Female,36,123,6
519,Female,50,96,82
520,Female,18,49,86
521,Female,62,34,82
522,Male,20,104,51
523,Female,59,55,66
524,Male,38,147,96
525,Female,52,41,17
526,Male,58,106,65
527,Male,57,25,9
528,Female,20,27,13
529,Female,42,145,58
530,Female,62,84,30
531,Male,55,10,31
532,Female,62,134,23
533,Male,37,47,63
534,Male,69,54,28
535,Male,61,90,59
536,Female,62,138,10
537,Female,51,41,89
538,Male,38,145,90
539,Male,65,127,26
540,Female,40,49,77
541,Male,23,83,17
542,Female,68,120,40
543,Male,30,112,68
544,Female,66,112,23
545,Male,40,83,35
546,Female,26,123,75
547,Male,34,132,76
548,Female,19,66,9
549,Female,36,83,79
550,Male,36,92,45
551,Male,24,88,37
552,Female,59,139,69
553,Male,59,102,19
554,Female,37,59,75
555,Male,26,38,73
556,Female,34,90,99
557,Female,44,19,27
558,Female,64,126,13
559,Female,19,69,57
560,Female,53,69,60
561,Female,36,67,12
562,Male,34,54,9
563,Male,22,133,92
564,Male,56,35,77
565,Female,35,111,84
566,Female,24,60,77
567,Female,34,61,27
568,Female,56,60,90
569,Male,53,140,63
570,Male,57,23,93
571,Female,62,10,29
572,Male,21,23,22
573,Male,55,90,73
574,Female,42,12,88
575,Male,22,107,19
576,Female,47,49,38
577,Male,29,98,95
578,Female,21,134,39
579,Female,41,104,15
580,Female,46,18,54
581,Female,26,103,32
582,Male,21,93,46
583,Female,68,30,61
584,Female,41,34,93
585,Female,31,111,52
586,Male,22,131,34
587,Female,35,34,73
588,Male,59,146,35
589,Female,36,112,70
590,Male,29,66,37
591,Male,35,46,78
592,Female,34,25,61
593,Male,47,46,49
594,Female,41,85,9
595,Female,28,35,19
596,Female,52,29,87
597,Male,40,146,28
598,Male,34,112,80
599,Female,18,38,26
600,Female,32,40,38
601,Male,49,28,40
602,Female,26,36,25
603,Female,32,103,99
604,Female,45,94,69
605,Male,41,53,71
606,Male,52,122,23
607,Male,39,83,89
608,Female,44,96,65
609,Female,36,103,22
610,Female,62,107,64
611,Male,29,141,68
612,Female,37,65,58
613,Female,18,106,28
614,Female,38,107,78
615,Female,66,43,97
616,Male,62,109,68
617,Male,18,23,75
618,Female,27,121,96
619,Male,64,84,4
620,Male,49,106,1
621,Female,56,130,26
622,Female,39,64,33
623,Male,35,126,81
624,Female,65,102,27
625,Male,63,46,42
626,Female,49,35,69
627,Male,44,76,71
628,Female,45,93,64
629,Male,35,27,25
630,Male,56,36,72
631,Male,66,40,98
632,Female,46,115,4
633,Male,35,138,12
634,Male,61,15,58
635,Female,25,20,95
636,Female,48,27,11
637,Male,51,30,59
638,Male,24,28,36
639,Female,53,13,22
640,Female,35,86,65
641,Female,55,125,50
642,Female,26,34,4
643,Female,26,86,72
644,Male,63,58,89
645,Female,25,74,92
646,Male,68,92,52
647,Male,52,10,43
648,Male,35,90,46
649,Female,22,30,4
650,Male,31,95,13
651,Male,45,24,38
652,Female,47,59,45
653,Male,21,57,25
654,Male,56,58,67
655,Female,37,117,55
656,Male,42,54,96
657,Male,45,41,39
658,Male,29,141,65
659,Female,19,106,75
660,Female,60,89,2
661,Female,31,63,69
662,Male,39,136,86
663,Male,48,143,62
664,Female,40,75,46
665,Male,65,146,77
666,Male,37,118,87
667,Female,55,32,31
668,Female,21,116,99
669,Male,32,60,35
670,Male,41,81,45
671,Male,42,112,77
672,Female,18,89,54
673,Female,24,27,71
674,Female,48,90,69
675,Female,29,116,29
676,Male,59,78,72
677,Female,22,89,8
678,Female,61,51,54
679,Female,67,43,7
680,Female,59,57,83
681,Female,55,145,23
682,Male,29,147,32
683,Male,56,14,62
684,Female,35,125,45
685,Male,19,126,68
686,Female,27,117,30
687,Female,32,32,39
688,Male,47,71,5
689,Male,61,22,67
690,Female,34,146,22
691,Female,21,29,28
692,Female,24,101,22
693,Male,58,117,86
694,Female,48,117,98
695,Female,68,42,29
696,Female,56,73,43
697,Male,51,39,42
698,Female,23,117,60
699,Female,67,82,77
700,Male,55,118,71
701,Female,62,109,74
702,Female,68,23,92
703,Male,51,28,68
704,Female,61,80,59
705,Male,32,68,96
706,Male,31,106,86
707,Female,23,53,84
708,Female,67,120,84
709,Female,54,20,6
710,Female,67,115,73
711,Male,49,11,28
712,Female,20,134,77
713,Male,20,103,31
714,Female,39,102,39
715,Female,39,13,50
716,Female,27,72,78
717,Male,68,38,86
718,Female,20,28,37
719,Female,29,100,88
720,Female,46,38,72
721,Female,65,125,15
722,Male,34,79,51
723,Female,24,132,70
724,Male,30,32,23
725,Male,19,55,25
726,Male,21,17,95
727,Male,27,75,46
728,Male,56,109,93
729,Male,41,70,23
730,Female,34,121,10
731,Male,69,61,73
732,Male,23,45,77
733,Male,36,121,32
734,Female,22,96,51
735,Female,49,94,41
736,Male,27,22,65
737,Female,26,56,65
738,Male,44,99,40
739,Male,30,31,18
740,Female,36,67,36
741,Male,38,39,31
742,Female,41,115,54
743,Female,55,83,63
744,Male,21,103,1
745,Male,41,80,52
746,Female,52,16,57
747,Male,20,74,9
748,Male,21,55,86
749,Male,54,27,92
750,Female,57,17,90
751,Female,65,83,74
752,Male,52,111,56
753,Female,48,88,47
754,Female,61,88,3
755,Female,42,130,2
756,Female,57,72,54
757,Female,30,49,37
758,Male,21,93,56
759,Male,63,24,31
760,Male,31,108,97
761,Female,30,143,96
762,Female,44,130,12
763,Male,23,72,58
764,Female,34,145,67
765,Male,53,137,26
766,Male,57,121,78
767,Male,66,120,12
768,Female,52,41,90
769,Female,34,54,16
770,Male,58,131,53
771,Male,19,91,72
772,Male,30,22,49
773,Male,69,33,49
774,Female,19,23,92
775,Female,69,79,7
776,Male,45,71,15
777,Male,60,129,36
778,Female,43,98,72
779,Female,39,10,74
780,Male,64,135,15
781,Male,60,41,62
782,Male,20,41,18
783,Female,52,65,46
784,Female,29,100,61
785,Female,41,13,43
786,Male,22,32,44
787,Male,37,38,99
788,Female,56,107,66
789,Female,56,39,55
790,Male,30,99,86
791,Female,58,76,79
792,Female,62,110,39
793,Male,29,67,5
794,Female,30,34,57
795,Male,27,32,15
796,Male,50,138,91
797,Male,57,106,16
798,Male,33,137,57
799,Male,62,90,82
800,Male,52,13,99
801,Male,20,144,25
802,Female,22,55,22
803,Male,43,18,31
804,Male,28,42,34
805,Female,24,93,87
806,Female,27,141,16
807,Female,59,74,70
808,Male,69,115,59
809,Female,51,43,15
810,Male,20,94,82
811,Male,25,97,13
812,Male,48,64,24
813,Male,28,146,13
814,Female,62,26,65
815,Female,24,140,36
816,Male,62,13,49
817,Male,19,16,82
818,Male,23,35,48
819,Female,58,33,97
820,Male,49,19,43
821,Male,37,22,6
822,Female,51,134,81
823,Female,67,48,68
824,Male,33,28,14
825,Female,42,85,30
826,Female,29,61,84
827,Male,24,129,8
828,Female,56,55,54
829,Male,34,84,66
830,Female,62,133,4
831,Male,28,57,74
832,Male,23,71,84
833,Male,40,67,60
834,Female,44,27,53
835,Male,63,117,99
836,Female,23,57,74
837,Male,55,72,92
838,Male,19,21,15
839,Female,39,43,1
840,Male,37,111,22
841,Male,42,96,91
842,Female,32,34,93
843,Male,66,141,15
844,Male,46,58,74
845,Male,25,87,84
846,Male,54,145,22
847,Female,66,64,50
848,Female,69,27,48
849,Male,50,44,73
850,Female,39,16,51
851,Male,67,22,96
852,Female,64,135,17
853,Male,22,121,83
854,Male,56,78,91
855,Male,35,109,51
856,Male,55,99,37
857,Male,54,51,98
858,Male,47,118,49
859,Female,68,119,59
860,Male,48,35,10
861,Female,27,85,30
862,Male,32,41,85
863,Female,59,100,21
864,Female,65,134,34
865,Female,61,135,73
866,Male,35,61,98
867,Male,40,112,50
868,Female,50,114,76
869,Male,33,23,47
870,Female,55,113,85
871,Male,52,126,84
872,Female,51,57,6
873,Female,45,102,50
874,Male,19,119,63
875,Female,47,62,12
876,Male,30,12,41
877,Female,58,77,31
878,Female,33,142,2
879,Male,22,147,16
880,Male,45,61,1
881,Male,56,105,4
882,Female,62,40,47
883,Male,37,75,65
884,Female,41,100,52
885,Female,44,78,47
886,Male,47,96,99
887,Male,62,42,77
888,Female,44,77,50
889,Female,43,97,45
890,Male,24,104,42
891,Male,59,117,95
892,Male,64,62,84
893,Male,55,83,56
894,Male,22,58,71
895,Female,40,122,57
896,Female,45,123,33
897,Female,51,104,28
898,Female,32,34,44
899,Male,49,141,56
900,Male,43,148,44
901,Male,65,117,84
902,Female,48,78,96
903,Female,36,93,73
904,Male,26,94,34
905,Male,46,128,14
906,Female,68,81,68
907,Female,56,29,29
908,Male,21,36,79
909,Male,20,17,17
910,Female,46,94,83
911,Male,69,70,9
912,Male,28,12,27
913,Male,50,16,49
914,Female,55,13,79
915,Female,28,142,37
916,Female,44,148,28
917,Female,50,134,50
918,Female,38,24,55
919,Female,56,22,4
920,Female,48,127,85
921,Male,55,16,98
922,Male,63,113,19
923,Male,19,15,37
924,Male,44,73,4
925,Male,53,39,37
926,Male,28,31,51
927,Male,64,127,32
928,Female,35,93,45
929,Female,18,142,12
930,Male,52,99,41
931,Male,52,130,56
932,Female,48,115,80
933,Male,45,78,14
934,Male,56,104,54
935,Female,18,86,63
936,Male,42,10,65
937,Female,60,71,58
938,Male,55,27,96
939,Female,37,57,21
940,Female,20,146,4
941,Female,68,10,73
942,Male,19,146,46
943,Female,35,116,86
944,Male,61,139,12
945,Male,27,47,30
946,Male,22,49,94
947,Male,26,91,96
948,Female,19,25,60
949,Female,51,136,71
950,Male,55,126,81
951,Male,48,102,65
952,Female,27,143,14
953,Male,67,12,44
954,Female,29,23,26
955,Male,53,75,91
956,Male,38,104,16
957,Female,66,95,7
958,Male,64,123,32
959,Female,23,138,89
960,Male,65,24,95
961,Male,66,46,16
962,Male,20,36,78
963,Female,27,21,89
964,Male,22,76,62
965,Male,63,39,30
966,Male,43,105,71
967,Male,38,144,12
968,Female,62,43,67
969,Female,43,41,91
970,Male,55,126,46
971,Female,61,48,83
972,Male,43,105,43
973,Male,25,140,55
974,Male,22,52,45
975,Female,32,90,60
976,Female,33,12,71
977,Female,18,83,80
978,Female,33,126,32
979,Female,54,72,8
980,Female,20,120,77
981,Female,69,49,62
982,Female,64,27,75
983,Female,48,76,20
984,Male,30,112,18
985,Female,33,147,6
986,Female,60,55,84
987,Female,38,64,96
988,Female,19,84,29
989,Female,44,106,4
990,Female,55,35,71
991,Female,43,31,43
992,Female,55,35,84
993,Female,63,82,34
994,Female,42,124,71
995,Female,28,60,33
996,Male,25,122,15
997,Male,25,21,96
998,Female,50,12,86
999,Female,24,129,40
1000,Male,55,144,93
1001,Female,38,143,89
1002,Male,25,91,5
1003,Male,68,54,78
1004,Male,38,136,50
1005,Male,37,95,99
1006,Male,25,124,66
1007,Female,63,18,89
1008,Male,48,21,54
1009,Female,67,125,80
1010,Female,46,97,46
1011,Male,65,71,80
1012,Male,26,113,11
1013,Female,32,82,49
1014,Male,47,86,99
1015,Male,43,49,23
1016,Female,27,144,55
1017,Female,46,26,5
1018,Male,33,128,64
1019,Female,53,135,35
1020,Male,37,33,93
1021,Male,62,11,69
1022,Male,54,101,54
1023,Female,39,126,3
1024,Female,24,62,6
1025,Female,40,55,87
1026,Female,58,54,56
1027,Female,57,18,2
1028,Male,46,15,82
1029,Male,33,60,94
1030,Male,55,128,38
1031,Male,45,44,56
1032,Female,65,91,5
1033,Male,55,34,46
1034,Female,48,148,11
1035,Male,31,26,65
1036,Female,50,45,10
1037,Female,26,105,41
1038,Male,44,30,44
1039,Male,41,27,90
1040,Male,30,10,33
1041,Male,43,145,91
1042,Female,46,60,56
1043,Male,68,88,12
1044,Male,66,45,2
1045,Female,60,71,1
1046,Male,45,138,65
1047,Male,45,94,33
1048,Male,25,51,86
1049,Male,40,10,76
1050,Male,46,63,36
1051,Female,22,109,21
1052,Male,59,48,84
1053,Male,24,16,36
1054,Male,59,130,26
1055,Male,53,54,47
1056,Male,58,83,95
1057,Female,44,129,1
1058,Male,63,81,38
1059,Female,19,147,14
1060,Female,42,55,90
1061,Male,26,132,46
1062,Male,44,127,42
1063,Male,18,84,7
1064,Male,40,15,55
1065,Female,27,30,56
1066,Male,59,112,76
1067,Male,69,97,63
1068,Male,42,108,24
1069,Male,20,71,83
1070,Male,23,116,73
1071,Male,23,92,99
1072,Female,19,65,4
1073,Female,35,31,42
1074,Male,40,77,96
1075,Male,19,19,70
1076,Male,29,75,28
1077,Female,39,17,92
1078,Male,54,132,40
1079,Female,37,47,51
1080,Male,56,132,29
1081,Male,41,71,42
1082,Male,65,147,69
1083,Male,37,54,5
1084,Female,18,74,41
1085,Female,18,76,61
1086,Male,34,146,55
1087,Male,18,142,28
1088,Female,69,115,41
1089,Female,62,147,9
1090,Female,47,149,29
1091,Female,58,91,78
1092,Male,64,67,38
1093,Female,20,140,62
1094,Male,63,78,54
1095,Female,28,98,52
1096,Female,41,73,34
1097,Female,39,81,37
1098,Female,61,26,49
1099,Female,62,82,42
1100,Male,43,79,14
1101,Male,30,122,82
1102,Female,18,30,33
1103,Female,41,144,98
1104,Male,27,16,92
1105,Female,52,120,87
1106,Female,41,36,17
1107,Male,45,17,75
1108,Female,53,37,32
1109,Female,33,56,79
1110,Male,57,95,68
1111,Male,33,19,39
1112,Male,34,123,94
1113,Female,68,42,10
1114,Male,32,144,87
1115,Male,33,140,24
1116,Male,32,23,58
1117,Male,51,55,69
1118,Male,28,70,64
1119,Male,18,22,19
1120,Female,32,25,8
1121,Female,43,142,71
1122,Male,68,47,40
1123,Male,21,47,13
1124,Male,60,112,27
1125,Female,22,65,82
1126,Female,52,72,88
1127,Female,30,129,2
1128,Female,27,57,16
1129,Female,28,114,14
1130,Female,35,68,17
1131,Female,51,86,60
1132,Female,56,136,70
1133,Female,58,64,99
1134,Male,59,64,17
1135,Male,67,138,45
1136,Male,40,145,38
1137,Male,24,136,64
1138,Female,56,141,6
1139,Female,20,94,60
1140,Male,29,124,49
1141,Female,24,67,21
1142,Male,66,46,99
1143,Female,43,58,23
1144,Male,50,76,76
1145,Female,54,28,57
1146,Female,65,138,64
1147,Male,32,38,29
1148,Female,19,96,27
1149,Male,58,42,6
1150,Male,24,128,21
1151,Male,49,142,71
1152,Male,21,80,41
1153,Female,37,143,80
1154,Female,67,31,5
1155,Female,53,86,15
1156,Male,49,13,21
1157,Female,45,81,58
1158,Male,30,137,4
1159,Female,18,54,69
1160,Female,52,145,7
1161,Female,65,102,35
1162,Male,47,14,36
1163,Female,53,113,15
1164,Female,42,90,92
1165,Male,33,96,2
1166,Female,36,146,57
1167,Male,18,139,5
1168,Female,22,72,71
1169,Male,68,60,86
1170,Male,39,125,95
1171,Female,41,122,32
1172,Male,60,40,72
1173,Male,62,16,41
1174,Male,69,12,42
1175,Male,54,60,75
1176,Male,53,65,65
1177,Male,53,82,40
1178,Female,21,19,83
1179,Male,53,70,38
1180,Male,69,59,42
1181,Female,35,131,37
1182,Female,67,10,56
1183,Female,33,47,71
1184,Female,58,88,55
1185,Female,35,98,89
1186,Female,39,91,54
1187,Female,19,76,22
1188,Male,38,26,27
1189,Male,53,136,47
1190,Female,61,121,38
1191,Male,56,145,39
1192,Male,64,69,15
1193,Male,56,49,66
1194,Female,46,98,61
1195,Female,43,50,60
1196,Male,38,149,8
1197,Female,34,124,44
1198,Male,33,109,43
1199,Male,48,126,6
1200,Male,68,98,84
1201,Male,26,102,27
1202,Female,48,148,45
1203,Female,31,69,23
1204,Female,66,77,81
1205,Male,54,87,13
1206,Female,19,55,68
1207,Male,69,47,84
1208,Female,65,26,64
1209,Male,63,75,25
1210,Male,31,45,86
1211,Male,50,83,52
1212,Female,52,16,48
1213,Female,56,25,61
1214,Female,64,23,17
1215,Female,68,89,40
1216,Male,37,34,75
1217,Female,19,114,89
1218,Female,68,13,69
1219,Male,58,136,85
1220,Male,36,65,26
1221,Male,54,15,80
1222,Female,35,138,56
1223,Male,33,138,40
1224,Male,21,124,85
1225,Male,29,66,96
1226,Female,46,74,68
1227,Male,24,74,8
1228,Female,31,112,73
1229,Female,29,30,45
1230,Male,52,42,17
1231,Male,22,31,41
1232,Female,34,119,77
1233,Male,59,13,9
1234,Male,49,149,70
1235,Female,27,83,91
1236,Female,60,128,24
1237,Male,34,102,73
1238,Female,22,74,11
1239,Male,62,74,35
1240,Male,59,19,29
1241,Male,26,56,8
1242,Female,66,75,17
1243,Male,50,58,71
1244,Male,53,31,12
